thread,model,option,file,graph_id,node_id,node_name,predicted_ra_component_id,predicted_ra_component_name,node_score,check_constraints_log,avg_prompt_cost,total_llm_cost
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_InformationServiceProvider_ISP_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1.aaxl2,comp_sub_hw_bus,sub_hw_bus,comp.data,Data_Management_Layer,1.0,All constraints have been satisfied,707.774863,2123
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_InformationServiceProvider_ISP_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1.aaxl2,comp_sub_tic,sub_TIC,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,707.774863,2123
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_InformationServiceProvider_ISP_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1.aaxl2,comp_collection,collection,comp.data,Data_Management_Layer,1.0,All constraints have been satisfied,707.774863,2123
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_RSE_RSEOwner_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_electric_charge_support_provider,RSE_ElectricChargeSupportProvider,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,755.376201,3765
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_RSE_RSEOwner_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_workzone_safety_provider,RSE_WorkzoneSafetyProvider,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,755.376201,3765
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_RSE_RSEOwner_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_travel_information_communication_provider,RSE_TravelInformationCommunicationProvider,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,755.376201,3765
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_RSE_RSEOwner_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_traffic_metering_provider,RSE_TrafficMeteringProvider,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,755.376201,3765
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_RSE_RSEOwner_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_speed_management_provider,RSE_SpeedManagementProvider,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,755.376201,3765
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_SmartParkingSystem_tispSys_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_system,SYSTEM,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,719.306548,9453
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_SmartParkingSystem_tispSys_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_driver,sub_driver,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,719.306548,9453
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_SmartParkingSystem_tispSys_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_hardware_comm,sub_hardwareComm,comp.data,Data_Management_Layer,1.0,All constraints have been satisfied,719.306548,9453
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_SmartParkingSystem_tispSys_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_vehicle_obe,sub_vehicleOBE,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,719.306548,9453
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_SmartParkingSystem_tispSys_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_roadside_obe,sub_roadsideOBE,comp.business,Business_Logic_Layer,0.0,All constraints have been satisfied,719.306548,9453
5,chatgpt,2,mapping_AADL_Architecture_of_Smart_Parking_SmartParkingSystem_tispSys_impl_1_aaxl2.json,AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_parking_manager,sub_parkingManager,comp.business,Business_Logic_Layer,1.0,All constraints have been satisfied,719.306548,9453
